	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10006	0.453379798	0.346194826	0.135037426	0.357916528	0.597224303	0.380122383	0.357046801	0.398764074	0.284495303	0.304440673	0.31408851	0.44354192	0.428960099	0.424102768	0.198349468	0.284365819	0.269366201	0.351963223	0.472554941	0.294665459
EG10007	0.643074494	0.912603409	0.624111043	0.794478931	0.628447951	0.86248883	0.585085565	0.93726167	0.387332981	0.773771909	0.975162855	0.878104962	0.959835584	0.816084657	0.743653736	0.94620598	0.964066452	0.763174731	0.770946794	0.700792037
EG10008	0.657049094	0.921401193	0.531975418	0.804963185	0.640194574	0.884222928	0.50617471	0.948677284	0.195784701	0.849478883	0.905685077	0.431428533	0.927672956	0.685651972	0.794783744	0.963109781	0.961069981	0.340400428	0.818231433	0.293612136
EG10012	0.711854364	0.760513543	0.418016612	0.690148434	0.456639927	0.819050781	0.609293479	0.849898201	0.806270051	0.750363703	0.56505866	0.948025917	0.805490632	0.957056133	0.7070541	0.599761549	0.70929685	0.961232234	0.916845099	0.911656986
EG10020	0.996934346	0.861026875	0.735149147	0.932732766	0.957058327	0.849355584	0.866033731	0.994802647	0.496790956	0.669000405	0.985014528	0.992892233	0.943590389	0.919122868	0.272553748	0.920796145	0.950400925	0.923692424	0.317958671	0.731873144
EG10022	0.03905109	0.075530257	0.047811988	0.094882276	0.040528625	0.041577349	0.045983903	0.040842291	0.050376788	0.018232938	0.145559837	0.113329521	0.230339746	0.168099918	0.209430976	0.142300792	0.093544303	0.252691569	0.180110174	0.162928366
EG10023	0.0491504	0.110962	0.089337991	0.073510084	0.132887311	0.063028656	0.039449669	0.107234093	0.066772725	0.048193767	0.033623147	0.104205665	0.076809	0.042378446	0.052947063	0.04895593	0.017689379	0.179965183	0.115981094	0.089309679
EG10024	0.296672448	0.302052095	0.15932745	0.2988002	0.245872592	0.26629468	0.256835508	0.327327493	0.301456416	0.260863	0.307431163	0.368202792	0.220493739	0.256427203	0.223487123	0.284703229	0.263369306	0.310983696	0.254014458	0.207100399
EG10025	0.359140395	0.29600663	0.153911581	0.338403991	0.313877524	0.282944685	0.345100065	0.341961154	0.332568655	0.341442865	0.419717646	0.300394943	0.37175339	0.435258874	0.222160544	0.308188817	0.419336011	0.329440605	0.326375451	0.234821134
EG10026	0.057591513	0.057453226	0.161311098	0.028173619	0.071959928	0.063724724	0.096476995	0.053461654	0.08587776	0.041444013	0.35503249	0.587330307	0.261308449	0.31617063	0.06860865	0.277091546	0.154259481	0.853382858	0.456897594	0.371326072
EG10029	0.156133055	0.891335632	0.073918315	0.664546397	0.217154254	0.114737604	0.803174228	0.60303312	0.015859994	0.11629205	0.747090569	0.129842416	0.810282658	0.54487285	0.627623182	0.963889013	0.874653209	0.403653829	0.951757649	0.30149079
EG10031	0.229633361	0.327240299	0.044467034	0.331181328	0.265126454	0.259673614	0.092808139	0.13652507	0.138569705	0.107185618	0.133914204	0.197050347	0.218499442	0.107172298	0.120524732	0.192424521	0.19434069	0.211966834	0.274111857	0.112633328
