	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20
EG10006	0.453379798	0.346194826	0.135037426	0.357916528	0.597224303	0.380122383	0.357046801	0.398764074	0.284495303	0.304440673	0.126863458	0.187443812	0.117216604	0.283039021	0.21687151	0.155884919	0.243097975	0.195324112	0.146374601	0.150265298
EG10007	0.643074494	0.912603409	0.624111043	0.794478931	0.628447951	0.86248883	0.585085565	0.93726167	0.387332981	0.773771909	0.914961011	0.83535883	0.972382515	0.709462939	0.923291966	0.988298909	0.699906199	0.830980226	0.947702137	0.945274303
EG10008	0.657049094	0.921401193	0.531975418	0.804963185	0.640194574	0.884222928	0.50617471	0.948677284	0.195784701	0.849478883	0.65929357	0.74950201	0.870858771	0.573192675	0.898360222	0.945075066	0.327963108	0.458130916	0.864900049	0.871875709
EG10012	0.711854364	0.760513543	0.418016612	0.690148434	0.456639927	0.819050781	0.609293479	0.849898201	0.806270051	0.750363703	0.996494897	0.826763404	0.966566252	0.907240986	0.831561832	0.937261098	0.473304833	0.979878095	0.99277637	0.99698372
EG10020	0.996934346	0.861026875	0.735149147	0.932732766	0.957058327	0.849355584	0.866033731	0.994802647	0.496790956	0.669000405	0.93715046	0.457927798	0.987202986	0.233554938	0.867669567	0.995602958	0.511497123	0.88309788	0.924956641	0.918913191
EG10022	0.03905109	0.075530257	0.047811988	0.094882276	0.040528625	0.041577349	0.045983903	0.040842291	0.050376788	0.018232938	0.119468849	0.091413477	0.13596374	0.038143149	0.137756096	0.156436757	0.139670517	0.100681211	0.053498327	0.073179592
EG10023	0.0491504	0.110962	0.089337991	0.073510084	0.132887311	0.063028656	0.039449669	0.107234093	0.066772725	0.048193767	0.111870137	0.147122565	0.044083405	0.084018958	0.060380233	0.053678288	0.066592484	0.027075501	0.081805124	0.067247027
EG10024	0.296672448	0.302052095	0.15932745	0.2988002	0.245872592	0.26629468	0.256835508	0.327327493	0.301456416	0.260863	0.392228469	0.442471983	0.449418344	0.303060537	0.35874877	0.382880539	0.264037708	0.390821971	0.393784201	0.468700149
EG10025	0.359140395	0.29600663	0.153911581	0.338403991	0.313877524	0.282944685	0.345100065	0.341961154	0.332568655	0.341442865	0.423406749	0.264898965	0.308004868	0.385010798	0.393911215	0.397733424	0.317437387	0.31023356	0.411081627	0.384101537
EG10026	0.057591513	0.057453226	0.161311098	0.028173619	0.071959928	0.063724724	0.096476995	0.053461654	0.08587776	0.041444013	0.391193571	0.255872181	0.154606252	0.192047692	0.299051085	0.296923149	0.158105055	0.205387888	0.329175875	0.3432894
EG10029	0.156133055	0.891335632	0.073918315	0.664546397	0.217154254	0.114737604	0.803174228	0.60303312	0.015859994	0.11629205	0.104210425	0.87511219	0.954640412	0.55431235	0.004309118	0.682551729	0.926786914	0.07776257	0.527688789	0.846955338
EG10031	0.229633361	0.327240299	0.044467034	0.331181328	0.265126454	0.259673614	0.092808139	0.13652507	0.138569705	0.107185618	0.169856968	0.139295635	0.078660535	0.249570647	0.251841297	0.131341312	0.275675471	0.186701625	0.18233957	0.166282661
EG10035	0.251810948	0.116918121	0.469028133	0.374300512	0.216664227	0.172340489	0.274459241	0.153714888	0.163976026	0.289014006	0.911477554	0.168205709	0.845480009	0.111894551	0.802839949	0.991073776	0.108700688	0.203783509	0.800111299	0.806135652
EG10037	0.302051967	0.971536267	0.240368473	0.855540443	0.494916799	0.267343514	0.895750992	0.847843095	0.018495903	0.330284694	0.41146537	0.951850105	0.982748725	0.79308003	0.011800974	0.871578304	0.977689329	0.131205717	0.78095218	0.929656913
EG10044	0.198671846	0.18777602	0.183884199	0.151234569	0.205504556	0.241646112	0.164427762	0.185064552	0.134350502	0.192303317	0.399469109	0.344297922	0.379437846	0.23188577	0.407843603	0.509510789	0.292456221	0.412471209	0.442451881	0.441215862
EG10046	0.85850751	0.770479461	0.288906695	0.913865834	0.723312647	0.831935215	0.660610369	0.972730704	0.581416611	0.644214729	0.627057439	0.637465761	0.443671067	0.672456505	0.614167266	0.528360873	0.406160057	0.601934477	0.828186706	0.873017804
EG10047	0.648083736	0.719958476	0.335434875	0.838915547	0.894582776	0.652480626	0.580678432	0.979905615	0.054884716	0.300528305	0.750470049	0.055029268	0.089399192	0.934243197	0.515620901	0.820658621	0.626165909	0.949137369	0.76623332	0.842501236
EG10048	0.546824026	0.452293324	0.106028529	0.703322022	0.876412423	0.290193542	0.406735178	0.966981334	0.006367596	0.088019852	0.741656693	0.05406645	0.082770692	0.925915732	0.500973883	0.786205182	0.447402168	0.947468298	0.712832204	0.831591119
EG10049	0.930048546	0.902418052	0.36842514	0.961887447	0.877823171	0.901002354	0.814979452	0.985578616	0.718826473	0.795630331	0.887551979	0.800413269	0.759093858	0.773970893	0.846970184	0.822320883	0.718326132	0.818589188	0.949243966	0.957644785
EG10050	0.889391388	0.881471405	0.358502619	0.947236832	0.850718652	0.910973743	0.785964451	0.974208756	0.656385438	0.749394025	0.863230213	0.711130301	0.749275613	0.676675706	0.831716544	0.752698901	0.603200001	0.772953461	0.914358876	0.90895653
EG10052	0.995861216	0.886003172	0.688763443	0.90910183	0.963115815	0.785029428	0.869522988	0.991576719	0.360763445	0.626958498	0.920740702	0.446888403	0.972957165	0.297393614	0.86391369	0.994568442	0.49650864	0.818372378	0.894748434	0.900136477
EG10053	0.99355088	0.861061888	0.639749935	0.910045181	0.940857406	0.805129826	0.848933214	0.987949949	0.27488959	0.66553723	0.963598966	0.593334152	0.988953806	0.48293681	0.922432809	0.997911399	0.715595007	0.870043607	0.947368079	0.968592069
EG10054	0.994836766	0.826724706	0.520695331	0.900647158	0.943994759	0.760615845	0.835891605	0.986223632	0.41477284	0.533739867	0.893539337	0.359774172	0.96204146	0.17019933	0.767312668	0.99293187	0.393207469	0.725692854	0.831492052	0.872498435
EG10055	0.993461189	0.845855961	0.583286175	0.888890001	0.913285542	0.800957147	0.850402392	0.985313695	0.229361584	0.566544746	0.911606375	0.371838463	0.971814554	0.335931565	0.825798589	0.992439497	0.409437544	0.782848546	0.865180925	0.904387752
EG10056	0.995718539	0.893224967	0.664552615	0.917510523	0.949396535	0.822233435	0.874130847	0.991197242	0.496599834	0.710756113	0.932631071	0.393887789	0.964949644	0.284106956	0.823792493	0.993126694	0.527390623	0.821487608	0.875324297	0.910043108
EG10057	0.993003076	0.755338872	0.526086602	0.851453938	0.923889158	0.758155368	0.778816215	0.984381973	0.268643659	0.482526559	0.949404343	0.210614436	0.972422348	0.124812398	0.803158052	0.996427764	0.383988178	0.778313497	0.874042497	0.917631096
EG10058	0.996286436	0.894702507	0.748045938	0.932439364	0.964502086	0.873068404	0.886564377	0.993161362	0.486083541	0.666575327	0.929739675	0.41970425	0.970928365	0.260334312	0.816293228	0.995809448	0.410605545	0.751411259	0.868220653	0.877349328
EG10059	0.994240328	0.80260913	0.54071456	0.894681901	0.938184964	0.761776289	0.850004852	0.987814116	0.430306817	0.59414075	0.925889484	0.371295252	0.969594338	0.273773302	0.848722797	0.994417198	0.447457576	0.783491587	0.901211426	0.913997465
EG10060	0.993266932	0.846627246	0.594179513	0.877510873	0.935379352	0.728348431	0.833109212	0.986156796	0.326701783	0.486363701	0.905006933	0.433891984	0.972059836	0.27441236	0.771970486	0.993077498	0.431779463	0.78635201	0.85559914	0.906148717
EG10061	0.725985856	0.682516864	8.00E-04	0.906782128	0.565686689	0.841957955	0.546800851	0.947661522	0.837181079	0.725757201	0.558515409	0.86545053	0.089874461	0.976418256	0.535537339	0.254294365	0.448195394	0.510506357	0.780634401	0.820904804
EG10065	0.181946761	0.000777	0.74670785	0.189809712	0.126145085	0.509359761	0.696709767	0.421194707	0.15336239	0.031927377	0.150094067	0.022142674	0.256823428	0.074801267	0.07572919	0.846685416	0.050350961	0.063333659	0.198976577	0.117147496
EG10067	0.175730045	0.000412	0.801715326	0.133542936	0.212329208	0.585940662	0.829879215	0.536880598	0.189652099	0.026229108	0.207568265	0.034252833	0.276708546	0.158065244	0.044441584	0.875806016	0.090493238	0.076112207	0.157750752	0.129000222
EG10070	0.750206037	0.996879078	0.126365664	0.651407659	0.617200086	0.264289866	0.090853693	0.428466061	0.576521134	0.927736884	0.724523265	0.930002637	0.520323889	0.751214026	0.862810388	0.088395972	0.859186829	0.867758703	0.632266054	0.756032615
EG10072	0.752798047	0.917595127	0.562540729	0.824272775	0.62023521	0.869164542	0.577118256	0.948721321	0.297860267	0.823817393	0.810297081	0.697068277	0.889714879	0.603969135	0.885973645	0.951169853	0.42727804	0.460796918	0.865816787	0.871517129
EG10073	0.706879594	0.072539693	0.524272486	0.568063406	0.71318264	0.619817483	0.694544536	0.990292998	0.892335081	0.475841371	0.144702455	0.854597539	0.487688103	0.57516608	0.751134299	0.995525129	0.016627344	0.995552546	0.504037987	0.706570219
EG10078	0.33614365	0.376988232	0.520598838	0.059719461	0.5581336	0.741034683	0.052164854	0.260054823	0.131365507	0.133068339	0.007426387	0.001852911	0.007486439	0.002416332	0.006297339	0.009618449	0.001120255	0.005385903	0.008913545	0.016787353
EG10079	0.489907113	0.439058384	0.562143223	0.141855101	0.708645343	0.775096931	0.028090149	0.344415351	0.150594645	0.101190435	0.993285567	0.993230113	0.994144814	0.993260794	0.99390336	0.992595853	0.994784553	0.995542062	0.992164181	0.995943897
EG10082	0.082985264	0.380274076	0.318436044	0.121437702	0.200099831	0.343203479	0.04177378	0.41632237	0.060831927	0.271570891	0.1804138	0.499124799	0.027922626	0.133688956	0.400168761	0.033588966	0.024075766	0.609969591	0.242519395	0.15615093
EG10083	0.108896245	0.443008417	0.311723085	0.134432538	0.151069037	0.249153965	0.029572784	0.635115354	0.048029764	0.346433372	0.170631901	0.443059141	0.034616683	0.156190022	0.290132472	0.035607475	0.034276277	0.739247596	0.26076847	0.149663537
EG10084	0.440772263	0.291953656	0.374399121	0.092377815	0.586049524	0.738157053	0.020762293	0.260747086	0.122641088	0.085008358	0.150551388	0.530979875	0.044613301	0.429884005	0.1869893	0.052331765	0.06649691	0.990857254	0.520711263	0.364330608
EG10095	0.804867613	0.650479704	0.309321778	0.881856301	0.6861549	0.767173302	0.670893548	0.957072967	0.597480622	0.514062753	0.677569012	0.636852477	0.513600379	0.600649847	0.717044866	0.614013879	0.394002553	0.624964229	0.820281827	0.846869157
EG10109	0.312404048	0.391719158	0.220278413	0.312067936	0.129827744	0.387077709	0.201785181	0.29458705	0.250954646	0.268393166	0.167163092	0.912443399	0.003329811	0.997204238	0.27967331	0.039492147	0.175084637	0.138950647	0.744413638	0.664341524
EG10110	0.295923615	0.290493107	0.213349123	0.242830808	0.387859221	0.317968153	0.324912938	0.327375682	0.283165927	0.307679589	0.314506454	0.99190782	0.001757487	0.999950548	0.404181749	0.025331113	0.287392567	0.355616497	0.937579327	0.901942071
EG10111	0.103482261	0.075108628	0.99469643	0.020868298	0.29773244	0.050101131	0.203793606	0.013219102	0.104970239	0.124837965	0.745345475	0.13146506	0.995299788	0.014805782	0.663989167	0.952255228	0.817944951	0.735740013	0.265896672	0.338422265
EG10112	0.344121826	0.210209651	0.222973453	0.326506925	0.257327014	0.236589906	0.26435537	0.324352882	0.359489258	0.213556751	0.093227622	0.308341549	0.255902695	0.386180456	0.184309558	0.281166899	0.14229241	0.087871604	0.263734498	0.169073563
EG10113	0.718487758	0.170376999	0.578716508	0.692946804	0.403336791	0.326052977	0.373213779	0.68816545	0.456062022	0.853281869	0.570841355	0.888386124	0.921683057	0.39478853	0.426212593	0.672266658	0.893825673	0.333969043	0.643019691	0.770178362
EG10116	0.58354341	0.536837098	0.44447587	0.598594993	0.58043727	0.535162656	0.475159896	0.560548009	0.286220508	0.406181421	0.413564874	0.239189784	0.474834004	0.391429019	0.351260602	0.399140482	0.278852339	0.295722187	0.26596542	0.336262647
EG10125	0.502726241	0.310063151	0.319202596	0.355330238	0.335994519	0.351206695	0.379248204	0.329034705	0.165995309	0.329184127	0.163277579	0.233194736	0.272329991	0.22652957	0.281124599	0.23926651	0.193209845	0.225361028	0.316997	0.385167021
EG10131	0.229522465	0.288524881	0.050858145	0.375619878	0.332334333	0.417895302	0.414862812	0.296297194	0.42009689	0.288945323	0.390582911	0.411573649	0.311658043	0.309402963	0.42583666	0.398347147	0.353641522	0.391167821	0.517678324	0.430082653
EG10132	0.26185298	0.32530266	0.078218168	0.333815901	0.342581525	0.397416501	0.376173872	0.267835066	0.446355713	0.286810976	0.28850732	0.431733901	0.239457111	0.394083298	0.309864513	0.320470367	0.320494172	0.360423511	0.439078889	0.250818552
EG10133	0.52593624	0.538927683	0.093147324	0.718028736	0.962121376	0.626311041	0.741715191	0.240798477	0.397639856	0.311246569	0.907868244	0.550926149	0.555997622	0.156121348	0.938821797	0.859125625	0.561491155	0.545050141	0.428806508	0.056714142
EG10134	0.521502872	0.392554306	0.644452283	0.491249233	0.485648007	0.676279094	0.692832087	0.490902828	0.370166799	0.285996664	0.499771168	0.519478141	0.492346772	0.448884446	0.482504272	0.524789695	0.545653914	0.475834239	0.4076978	0.460293853
EG10135	0.376469316	0.257357049	0.580439658	0.37333443	0.344959725	0.519946358	0.661980391	0.522611158	0.244730572	0.185494691	0.15732311	0.221169909	0.230408961	0.185420245	0.127862419	0.461593805	0.247042345	0.18974075	0.192730537	0.209185996
EG10137	0.664038408	0.529193252	0.364204174	0.603141173	0.601891985	0.500548133	0.542567329	0.729993016	0.298618034	0.336752975	0.342601067	0.260698609	0.41407837	0.112847334	0.351035514	0.320841895	0.203264012	0.369016441	0.361779743	0.4531804
EG10139	0.675015225	0.633263824	0.438576341	0.807656149	0.874106532	0.646119793	0.681717478	0.976143728	0.209538955	0.391806212	0.737493361	0.076239609	0.051637876	0.899226433	0.507260444	0.784487458	0.608007796	0.9530747	0.717644792	0.849566141
EG10146	0.328916197	0.461503992	0.421849755	0.376365333	0.357316342	0.25683432	0.474501632	0.358150567	0.463691125	0.458195722	0.234281424	0.484587322	0.396237938	0.565661124	0.298563939	0.217060541	0.380753673	0.304923961	0.263858872	0.325777467
EG10147	0.7704305	0.884668993	0.811959158	0.736260972	0.870184517	0.812727729	0.790581755	0.893180476	0.612995802	0.722772803	0.715523027	0.916705163	0.84309486	0.908977285	0.893201696	0.787602927	0.949769977	0.872610111	0.818869781	0.828504678
EG10148	0.871008166	0.923700533	0.864706032	0.801723877	0.934062469	0.858652565	0.845518663	0.95171679	0.768445703	0.774000284	0.638950405	0.89149808	0.720234097	0.90509505	0.884988545	0.743238225	0.90925131	0.801662985	0.682484902	0.780449687
EG10149	0.240281007	0.353973761	0.341473341	0.269160526	0.439808945	0.341824885	0.286238271	0.220434206	0.409280698	0.339495385	0.403217054	0.627277095	0.384842769	0.606147626	0.321919407	0.263836573	0.559261802	0.413073822	0.293949985	0.391178435
EG10150	0.674698522	0.876371155	0.682513835	0.688297639	0.869126397	0.713939579	0.654983416	0.872117757	0.576253984	0.513643204	0.646982352	0.904137077	0.767840639	0.900684855	0.888809571	0.747633871	0.926423162	0.857062429	0.74798989	0.736040584
EG10151	0.613036369	0.836356327	0.712035029	0.667115757	0.81123721	0.677516261	0.707472908	0.873537143	0.623755628	0.504662045	0.641099966	0.896562259	0.789870255	0.902329186	0.834634416	0.729051467	0.919919871	0.798989596	0.77743487	0.821395869
EG10152	0.945242532	0.708167539	0.098987859	0.940848143	0.999822623	0.690742193	0.940067021	0.309894138	0.441794464	0.359587514	0.039585418	0.321166148	0.081538197	0.253537816	0.51694689	0.236924873	0.733694155	0.039407044	0.018721406	0.018515918
EG10153	0.679636743	0.751613234	0.416823059	0.800098962	0.488146346	0.798441955	0.651846389	0.890547406	0.813684546	0.802051707	0.783182644	0.940127261	0.371884	0.992606224	0.75507374	0.510364585	0.718094806	0.75683454	0.912837619	0.92806102
EG10154	0.634943163	0.749790203	0.378152076	0.79178472	0.466497598	0.742746011	0.550487171	0.869851793	0.809263455	0.783555535	0.846976135	0.893761935	0.587291271	0.920731168	0.761838355	0.68560653	0.626199997	0.873074462	0.950911248	0.951703818
EG10155	0.252325772	0.24733706	0.153943785	0.246386023	0.209639806	0.14608709	0.231430698	0.223737996	0.140879165	0.167769543	0.538556331	0.116992841	0.57207468	0.155823782	0.466569133	0.722292717	0.201995374	0.471841088	0.488268472	0.641221631
EG10157	0.323701183	0.309838104	0.496514615	0.559412028	0.344004951	0.392777644	0.283255522	0.256020959	0.373111797	0.565202904	0.677446496	0.388155959	0.622621031	0.338803996	0.739879203	0.684940807	0.092590373	0.23336326	0.699363374	0.625129448
EG10158	0.484713218	0.465918311	0.700819184	0.639874932	0.440046625	0.589926732	0.305460955	0.498022112	0.498264348	0.718239853	0.665466056	0.371206183	0.526236941	0.277363428	0.696016062	0.652128895	0.064382323	0.101457375	0.533989395	0.602854894
EG10159	0.291073892	0.405156668	0.611677784	0.510328742	0.357778244	0.481607328	0.213542177	0.370160754	0.429379349	0.503880304	0.695044786	0.433273487	0.583736659	0.297427895	0.749556063	0.619392443	0.091602195	0.224784522	0.663112056	0.638195802
